,Disease,hypertensive disease,diabetes,depression mental,coronary arteriosclerosis,pneumonia,failure heart congestive,accidentÂ cerebrovascular,asthma,myocardial infarction,hypercholesterolemia,infection,infection urinary tract,anemia,chronic obstructive airway disease,dementia,insufficiency renal,confusion,degenerativeÂ polyarthritis,hypothyroidism,anxiety state,malignant neoplasms,acquiredÂ immuno-deficiency syndrome,cellulitis,gastroesophageal reflux disease,septicemia,deep vein thrombosis,dehydration,neoplasm,embolism pulmonary,epilepsy,cardiomyopathy,chronic kidney failure,carcinoma,hepatitis C,peripheral vascular disease,psychotic disorder,hyperlipidemia,bipolar disorder,obesity,ischemia,cirrhosis,exanthema,benign prostatic hypertrophy,kidney failure acute,mitral valve insufficiency,arthritis,bronchitis,hemiparesis,osteoporosis,transient ischemic attack,adenocarcinoma,paranoia,pancreatitis,incontinence,paroxysmalÂ dyspnea,hernia,malignant neoplasm of prostate^UMLS:C0600139,edema pulmonary,lymphatic diseases,stenosis aortic valve,malignant neoplasm of breast^UMLS:C0678222,schizophrenia,diverticulitis,overload fluid,ulcer peptic,osteomyelitis,gastritis,bacteremia,failure kidney,sickle cell anemia,failure heart,upper respiratory infection,hepatitis,hypertension pulmonary,deglutition disorder,gout,thrombocytopaenia,hypoglycemia,pneumonia aspiration,colitis,diverticulosis,suicide attempt,PneumocystisÂ cariniiÂ pneumonia,hepatitis B,parkinson disease,lymphoma,hyperglycemia,encephalopathy,tricuspid valve insufficiency,Alzheimer's disease,candidiasis^UMLS:C0006849,neuropathy,kidney disease,fibroid tumor,glaucoma,neoplasm metastasis,malignant tumor of colon^UMLS:C0699790,ketoacidosis diabetic,tonic-clonic epilepsy^UMLS:C0494475,malignantÂ neoplasms,respiratory failure,melanoma,gastroenteritis,malignant neoplasm of lung^UMLS:C0684249,manic disorder,personality disorder,primary carcinoma of the liver cells,emphysema pulmonary,hemorrhoids,spasm bronchial,aphasia,obesity morbid,pyelonephritis,endocarditis,effusion pericardial^UMLS:C1253937,chronic alcoholic intoxication,pneumothorax,delirium,neutropenia,hyperbilirubinemia,influenza,dependence,thrombus,cholecystitis,herniaÂ hiatal,migraine disorders,pancytopenia,cholelithiasis^UMLS:C0242216,tachycardia sinus,ileus,adhesion,delusion,affect labile,decubitus ulcer
0,,shortness of breath,polydypsia,suicidal,angina pectoris,fever,orthopnea,asthenia,cough,st segment elevation,pain chest,erythema,dysuria,guaiac positive,wheezing,fall,hyperkalemia,enuresis,food intolerance,prostatism,feeling suicidal,mass of body structure,night sweat,pain,pain chest,distress respiratory,pain,diarrhea,lesion,hypoxemia,hypometabolism,orthopnea,orthopnea,pain,distended abdomen,rest pain,hallucinations auditory,angina pectoris,energy increased,catatonia,pain chest,fall,pruritus,cachexia,hypotension,dyspnea on exertion,hemodynamically stable,wheezing,paresis,fall,dysarthria,lesion,hallucinations visual,pain abdominal,seizure,shortness of breath,pain,dysesthesia,shortness of breath,mass of body structure,syncope,mass of body structure,hypersomnolence,abscess bacterial,jugular venous distention,paraparesis,redness,pain abdominal,chill,oliguria,pain back,fatigue,throat sore,spontaneous rupture of membranes,Stahli's line,titubation,pain,monocytosis,"hypothermia, natural",fever,thicken,constipation,sleeplessness,cachexia,tachypnea,fall,fever,pruritus,asterixis,pain,agitation,throat sore,numbness,hyperkalemia,haemorrhage,distended abdomen,tumor cell invasion,prostatism,vomiting,lip smacking,gravida 10,snore,paraparesis,breath-holding spell,cough,suicidal,feeling hopeless,splenomegaly,scar tissue,bowel sounds decreased,scar tissue,egophony,sedentary,pain,thicken,dyspnea,hallucinations auditory,cardiovascular finding,withdraw,splenomegaly,tachypnea,fever,tremor,anorexia,nausea,fatigability,vomiting,fatigue,nausea,sweat,abdomen acute,pain,giddy mood,sleeplessness,frail
1,,dizziness,shortness of breath,hallucinations auditory,shortness of breath,decreased translucency,jugular venous distention,speech slurred,shortness of breath,sweat,sweat,decreased translucency,hematuria,monoclonal,cough,unresponsiveness,orthopnea,lethargy,numbness of hand,drowsiness,suicidal,lesion,spontaneous rupture of membranes,swelling,burning sensation,hypotension,ecchymosis,vomiting,pain chest,tachypnea,aura,hypokinesia,hyperkalemia,lesion,feeling suicidal,angina pectoris,feeling suicidal,palpitation,suicidal,snore,angina pectoris,splenomegaly,macule,blackout,hypocalcemia result,asymptomatic,sleeplessness,shortness of breath,asthenia,hirsutism,facial paresis,decreased body weight,agitation,nausea,asthenia,dyspnea on exertion,hyperventilation,asthenia,rale,night sweat,chest discomfort,paresthesia,irritable mood,dullness,hyperkalemia,nausea,prostate tender,vomiting,flushing,slowing of urinary stream,pain,dyspnea on exertion,wheezing,tachypnea,heavy legs,dysarthria,redness,posteriorÂ rhinorrhea,incoherent,clonus,green sputum,abscess bacterial,suicidal,chill,yellow sputum,stiffness,welt,feeling strange,haemorrhage,vomiting,nightmare,decreased body weight,nausea and vomiting,pain chest,abortion,unsteady gait,metastatic lesion,constipation,nausea,myoclonus,mass of body structure,unresponsiveness,fever,nausea,lung nodule,hypersomnia,transsexual,lesion,dyspnea on exertion,decreased stool caliber,apyrexial,facial paresis,angina pectoris,urgency ofÂ micturition,myalgia,shortness of breath,suicidal,haemoptysis,hyponatremia,night sweat,para 1,pleuritic pain,agitation,hypertonicity,pain abdominal,prodrome,dizziness,haemorrhage,pain abdominal,alcohol binge episode,air fluid level,large-for-dates fetus,feeling hopeless,enuresis,fever
2,,asthenia,pain chest,feeling hopeless,hypokinesia,shortness of breath,rale,facial paresis,chest tightness,shortness of breath,nonsmoker,hepatosplenomegaly,renal angle tenderness,ecchymosis,dyspnea,lethargy,rale,speech slurred,general discomfort,hyponatremia,sleeplessness,cushingoid facies,cough,redness,hyponatremia,tachypnea,shortness of breath,hypotension,hematuria,hematocrit decreased,muscle twitch,jugular venous distention,oliguria,tumor cell invasion,cough,unresponsiveness,hallucinations visual,presence of q wave,irritable mood,pain chest,pressure chest,pruritus,lesion,orthostasis,oliguria,hypokinesia,asthenia,chest tightness,aphagia,sniffle,asthenia,constipation,irritable mood,pain,urge incontinence,jugular venous distention,excruciating pain,polymyalgia,tachypnea,splenomegaly,systolic murmur,retropulsion,verbal auditory hallucinations,red blotches,orthopnea,vomiting,fever,disequilibrium,unresponsiveness,extreme exhaustion,shortness of breath,dyspnea,shortness of breath,pain abdominal,breath sounds decreased,painful swallowing,swelling,haemorrhage,qt interval prolonged,mental status changes,vomiting,heme positive,motor retardation,decreased body weight,projectile vomiting,withdraw,transaminitis,pustule,drowsiness,nausea,rhonchus,chill,awakening early,fever,intermenstrual heavy bleeding,paresthesia,pain neck,general discomfort,pain abdominal,tremor,lesion,productive cough,gravida 0,decreased body weight,shortness of breath,feeling suicidal,hallucinations auditory,paresis,coordination abnormal,nausea and vomiting,no known drug allergies,aphagia,cough,hematuria,apyrexial,hemodynamically stable,hoard,cough,verbally abusive behavior,apyrexial,bradycardia,snuffle,suicidal,shortness of breath,Murphy's sign,vomiting,numbness,fatigability,pain,pressure chest,catching breath,para 1,agitation,patient non compliance,
3,,fall,asthenia,weepiness,sweat,rale,dyspnea,hemiplegia,non-productive cough,st segment depression,pressure chest,chill,lethargy,tumor cell invasion,distress respiratory,agitation,urgency ofÂ micturition,fall,drowsiness,fall,feeling hopeless,emphysematous change,,fever,satiety early,chill,pain in lower limb,nausea,tumor cell invasion,pain chest,drowsiness,palpitation,jugular venous distention,thicken,ache,hyperkalemia,motor retardation,photopsia,agitation,r wave feature,chest discomfort,pain abdominal,redness,orthopnea,hemodynamically stable,dyspnea,syncope,fever,seizure,distended abdomen,neck stiffness,fremitus,verbal auditory hallucinations,diarrhea,unconscious state,rale,gag,passed stones,orthopnea,lesion,sciatica,erythema,patient non compliance,diarrhea,shortness of breath,polymyalgia,difficulty passing urine,nausea,indifferent mood,unresponsiveness,snuffle,shortness of breath,labored breathing,pruritus,neck stiffness,hoarseness,erythema,tachypnea,lameness,decreased translucency,nausea and vomiting,lightheadedness,weepiness,productive cough,poor feeding,agitation,decreased body weight,cushingoid facies,absences finding,bradycardia,consciousness clear,headache,hydropneumothorax,gravida 0,muscle hypotonia,hyponatremia,lung nodule,diarrhea,milky,phonophobia,heartburn,dyspnea,pain,sore to touch,haemoptysis,blanch,irritable mood,tumor cell invasion,myalgia,hunger,pain,muscle twitch,unhappy,vomiting,night sweat,cardiomegaly,irritable mood,hypercapnia,feeling suicidal,lesion,breech presentation,throat sore,homelessness,hypoalbuminemia,flatulence,nausea,nausea,cushingoid facies,cushingoid facies,scar tissue,abdominal tenderness,vomiting,hallucinations auditory,feeling hopeless,
4,,syncope,nausea,sleeplessness,pressure chest,productive cough,cough,unresponsiveness,pleuritic pain,hypokinesia,syncope,pruritus,asthenia,haemorrhage,sputum purulent,ecchymosis,ascites,consciousness clear,asthenia,unsteady gait,irritable mood,decreased body weight,decreased body weight,abscess bacterial,throbbing sensation quality,lethargy,cardiomegaly,lightheadedness,pain,dyspnea,tremor,pain chest,nausea,decreased body weight,macerated skin,sinus rhythm,blackout,sweat,has religious belief,has religious belief,shortness of breath,tumor cell invasion,headache,night sweat,asthenia,syncope,swelling,throat sore,speech slurred,vertigo,vertigo,decreased stool caliber,feeling suicidal,stool color yellow,aura,pain chest,nausea,pleuritic pain,Heberden's node,chill,angina pectoris,difficulty,agitation,sore to touch,drowsiness,out of breath,sore to touch,intoxication,urinoma,hypotension,pain chest,pansystolic murmur,fever,anorexia,dyspnea on exertion,stridor,emphysematous change,fever,unconscious state,unresponsiveness,awakening early,diarrhea,unable to concentrate,myalgia,pain abdominal,hemiplegia,ataxia,decreased body weight,posturing,pain abdominal,pin-point pupils,abdominal tenderness,superimposition,bleeding of vagina,previous pregnancies 2,agitation,pain,pain abdominal,feeling strange,rolling of eyes,night sweat,tachypnea,pruritus,scleralÂ icterus,debilitation,hallucinations auditory,sleeplessness,room spinning,hypercapnia,diarrhea,productive cough,paralyse,labored breathing,chill,flare,hypotension,feeling hopeless,soft tissue swelling,unresponsiveness,snuffle,cushingoid facies,malaise,prostatism,pruritus,colic abdominal,myalgia,fever,stool color yellow,ascites,cardiovascular finding,nausea,lung nodule,irritable mood,hallucinations visual,
5,,vertigo,orthopnea,motor retardation,dyspnea on exertion,pleuritic pain,wheezing,seizure,productive cough,angina pectoris,numbness,diarrhea,hyponatremia,pallor,hypoxemia,syncope,guaiac positive,mental status changes,nonsmoker,polyuria,tremor,ascites,chill,patient non compliance,chest tightness,bradycardia,rale,unwell,anosmia,pleuritic pain,unresponsiveness,syncope,shortness of breath,hoarseness,heavy feeling,labored breathing,verbal auditory hallucinations,chest discomfort,disturbed family,shortness of breath,dyspnea,distended abdomen,apyrexial,distress respiratory,"hypothermia, natural",thicken,atypia,productive cough,focal seizures,numbness of hand,numbness,satiety early,suicidal,rigor - temperature-associated observation,moody,palpitation,posturing,guaiac positive,jugular venous distention,decreased body weight,pain chest,lesion,suicidal,dysuria,weight gain,pain chest,swelling,haemorrhage,vomiting,enuresis,pain abdominal,jugular venous distention,stuffy nose,transaminitis,cyanosis,spasm,sore to touch,pruritus,clammy skin,extreme exhaustion,pain,haemorrhage,todd paralysis,diarrhea,abdominal tenderness,difficulty,tinnitus,mood depressed,aura,fever,bedridden,patient non compliance,fatigability,,shortness of breath,unconscious state,pain abdominal,urinary hesitation,gurgle,sleepy,thicken,hyperkalemia,mass in breast,fever,gurgle,hallucinations visual,agitation,haemorrhage,clammy skin,dizziness,throat sore,low back pain,"hypothermia, natural",diarrhea,shortness of breath,sputum purulent,feeling suicidal,prostatism,worry,chill,cough,debilitation,lethargy,sore to touch,pain,hyponatremia,splenomegaly,colic abdominal,thicken,orthostasis,sore to touch,breech presentation,sleeplessness,bedridden,
6,,sweat,rale,irritable mood,orthopnea,yellow sputum,,numbness,symptom aggravating factors,pressure chest,chest discomfort,abscess bacterial,hemodynamically stable,asthenia,hypercapnia,rale,asthenia,asterixis,non-productive cough,hypotension,blackout,hoarseness,diarrhea,hypesthesia,sensory discomfort,breech presentation,erythema,mental status changes,thicken,neck stiffness,hemiplegia,yellow sputum,mental status changes,general discomfort,hallucinations auditory,dyspnea,feeling hopeless,shortness of breath,hallucinations auditory,fatigue,sinus rhythm,lesion,arthralgia,anorexia,diarrhea,leftÂ atrialÂ hypertrophy,general unsteadiness,hepatosplenomegaly,hemiplegia,bradykinesia,lightheadedness,hematochezia,terrify,apyrexial,fear of falling,sweat,hemiplegia,rale,dyspnea,swelling,frothy sputum,estrogen use,worry,pain,hypokalemia,hemiplegia,apyrexial,guaiac positive,distended abdomen,shortness of breath,hepatosplenomegaly,systolic ejection murmur,non-productive cough,projectile vomiting,hypotension,asthenia,hypokinesia,hypotension,polyuria,stupor,nausea,pain,worry,neck stiffness,wheelchair bound,unresponsiveness,hydropneumothorax,estrogen use,tonic seizures,cicatrisation,frail,photophobia,tenesmus,,fever,burning sensation,food intolerance,dizzy spells,nervousness,hirsutism,chill,hypokinesia,vomiting,myalgia,ache,elation,weepiness,thicken,has religious belief,hyponatremia,dyspnea,charleyhorse,dyspnea,nausea,orthopnea,facial paresis,neologism,agitation,drowsiness,cough,myalgia,symptom aggravating factors,seizure,hemodynamically stable,ascites,sore to touch,,,sore to touch,shortness of breath,flatulence,shortness of breath,neologism,prostatism,
7,,palpitation,sweat,blackout,chest tightness,breath sounds decreased,,,distress respiratory,t wave inverted,shortness of breath,swelling,distress respiratory,fatigue,patient non compliance,unconscious state,apyrexial,unconscious state,polydypsia,difficulty,weepiness,thicken,pleuritic pain,hyperacusis,presence of q wave,cyanosis,hypotension,anorexia,metastatic lesion,yellow sputum,myoclonus,rale,diarrhea,metastatic lesion,chill,sore to touch,irritable mood,giddy mood,verbal auditory hallucinations,overweight,bradycardia,hemodynamically stable,swelling,dysarthria,haemorrhage,palpitation,shortness of breath,night sweat,abnormal sensation,pain,extrapyramidal sign,egophony,neologism,sore to touch,tremor,weight gain,sore to touch,breath sounds decreased,sweat,fever,bradycardia,burning sensation,hallucinations visual,vomiting,hypotension,gurgle,erythema,pain,hypoalbuminemia,haemorrhage,green sputum,hypotension,snuffle,chill,leftÂ atrialÂ hypertrophy,dysdiadochokinesia,ascites,fatigue,distress respiratory,seizure,chill,projectile vomiting,fatigue,hacking cough,moan,syncope,superimposition,wheezing,debilitation,mediastinal shift,tremor resting,night sweat,pain,,heartburn,lesion,mass of body structure,shooting pain,abdominal tenderness,moody,decreased translucency,sinus rhythm,diarrhea,hyponatremia,rale,verbal auditory hallucinations,mood depressed,indifferent mood,room spinning,clonus,chest tightness,,hematocrit decreased,pain abdominal,abscess bacterial,pain,seizure,,hallucinations auditory,monoclonal,,chill,muscle twitch,facial paresis,diarrhea,general discomfort,,,diarrhea,t wave inverted,diarrhea,decreased body weight,homicidal thoughts,,
8,,nausea,unresponsiveness,mood depressed,,chill,,,,orthopnea,st segment depression,pain,difficulty passing urine,heme positive,chest tightness,cough,mental status changes,agitation,stiffness,syncope,has religious belief,hematuria,patient non compliance,pruritus,nausea,spontaneous rupture of membranes,clonus,asthenia,food intolerance,productive cough,gurgle,dyspnea,asthenia,non-productive cough,asterixis,anorexia,agitation,hypokinesia,weepiness,systolic murmur,sweat,guaiac positive,erythema,,unresponsiveness,fatigue,distended abdomen,haemoptysis,unresponsiveness,syncope,Stahli's line,pain,homelessness,,spasm,cough,haemorrhage,urge incontinence,patient non compliance,hyperacusis,shortness of breath,dyspnea,underweight,sinus rhythm,swelling,hunger,abscess bacterial,decreased body weight,pustule,prostatism,apyrexial,angina pectoris,indifferent mood,distress respiratory,,ataxia,patient non compliance,,hypotension,transaminitis,tenesmus,pneumatouria,tremor,dyspareunia,,facial paresis,haemoptysis,ascites,consciousness clear,impaired cognition,hyperkalemia,painful swallowing,slowing of urinary stream,,primigravida,mass of body structure,atypia,bradycardia,regurgitates after swallowing,muscle twitch,pain abdominal,general unsteadiness,,retch,night sweat,feeling hopeless,scratch marks,cachexia,moan,pain,hypoxemia,,wheezing,myalgia,hypotension,oliguria,homelessness,,suicidal,hypocalcemia result,,scleralÂ icterus,stuffy nose,vomiting,qt interval prolonged,dyspnea on exertion,,,apyrexial,vomiting,mass of body structure,immobile,disturbed family,,
9,,angina pectoris,mental status changes,hallucinations visual,,rhonchus,,,,rale,worry,apyrexial,mental status changes,pain back,,bedridden,dyspnea,muscle twitch,unsteady gait,nightmare,nervousness,,tachypnea,pain chest,general discomfort,haemorrhage,non-productive cough,sensory discomfort,decreased body weight,cicatrisation,sleepy,dyspnea on exertion,chest tightness,constipation,patient non compliance,sleepy,tremor,hemiplegia,behavior hyperactive,mood depressed,rale,sore to touch,photophobia,,,vomiting,,labored breathing,stupor,out of breath,vision blurred,cicatrisation,energy increased,,unhappy,dyspnea,apyrexial,dysuria,chest discomfort,fremitus,pain,swelling,homelessness,colic abdominal,distended abdomen,apyrexial,pain foot,sore to touch,prostatism,no status change,headache,hypokinesia,egophony,fever,,achalasia,,,,hemiplegia,urge incontinence,cystic lesion,alcoholic withdrawal symptoms,hypokalemia,,orthostasis,fatigue,seizure,unresponsiveness,,facial paresis,poor dentition,,,abnormally hard consistency,,,vomiting,vision blurred,unresponsiveness,dullness,bruit,,mass of body structure,decreased translucency,difficulty,nausea and vomiting,"hypothermia, natural",night sweat,achalasia,tachypnea,,hypoxemia,fever,cough,blackout,sleeplessness,,fever,oliguria,,nasal flaring,feeling hopeless,stool color yellow,cardiovascular finding,asterixis,,,palpitation,pain abdominal,apyrexial,unsteady gait,worry,,
